"Mánuður","Vísitala neysluverðs","Verðbólgumarkmið Seðlabanka Íslands"
"1990-01",23.7,2.5
"1990-02",23.9,2.5
"1990-03",21.6,2.5
"1990-04",19.3,2.5
"1990-05",18.1,2.5
"1990-06",15.5,2.5
"1990-07",15.5,2.5
"1990-08",14.2,2.5
"1990-09",12,2.5
"1990-10",10.1,2.5
"1990-11",9.2,2.5
"1990-12",7.2,2.5
"1991-01",7.3,2.5
"1991-02",6,2.5
"1991-03",5.3,2.5
"1991-04",5.5,2.5
"1991-05",5.8,2.5
"1991-06",6.5,2.5
"1991-07",6.6,2.5
"1991-08",7.1,2.5
"1991-09",7.7,2.5
"1991-10",8.2,2.5
"1991-11",8,2.5
"1991-12",7.5,2.5
"1992-01",7.2,2.5
"1992-02",6.9,2.5
"1992-03",6.9,2.5
"1992-04",6.4,2.5
"1992-05",5,2.5
"1992-06",4,2.5
"1992-07",3.5,2.5
"1992-08",2.7,2.5
"1992-09",2,2.5
"1992-10",1.3,2.5
"1992-11",0.9,2.5
"1992-12",1.5,2.5
"1993-01",2.4,2.5
"1993-02",3.1,2.5
"1993-03",3,2.5
"1993-04",3.3,2.5
"1993-05",3.6,2.5
"1993-06",3.2,2.5
"1993-07",3.9,2.5
"1993-08",4.8,2.5
"1993-09",5.3,2.5
"1993-10",5.8,2.5
"1993-11",5.8,2.5
"1993-12",4.7,2.5
"1994-01",3.2,2.5
"1994-02",2.5,2.5
"1994-03",2.6,2.5
"1994-04",2.4,2.5
"1994-05",2.2,2.5
"1994-06",2.3,2.5
"1994-07",1.6,2.5
"1994-08",0.8,2.5
"1994-09",0.7,2.5
"1994-10",0,2.5
"1994-11",-0.1,2.5
"1994-12",0.5,2.5
"1995-01",1.7,2.5
"1995-02",1.7,2.5
"1995-03",1.4,2.5
"1995-04",1.1,2.5
"1995-05",1.3,2.5
"1995-06",1.3,2.5
"1995-07",1.4,2.5
"1995-08",1.8,2.5
"1995-09",1.8,2.5
"1995-10",2.4,2.5
"1995-11",2.1,2.5
"1995-12",2,2.5
"1996-01",1.6,2.5
"1996-02",1.7,2.5
"1996-03",2,2.5
"1996-04",2.3,2.5
"1996-05",2.8,2.5
"1996-06",2.6,2.5
"1996-07",2.4,2.5
"1996-08",2.6,2.5
"1996-09",2.5,2.5
"1996-10",2.1,2.5
"1996-11",2.5,2.5
"1996-12",2.1,2.5
"1997-01",2,2.5
"1997-02",1.9,2.5
"1997-03",1.7,2.5
"1997-04",2.2,2.5
"1997-05",1.4,2.5
"1997-06",1.8,2.5
"1997-07",1.8,2.5
"1997-08",1.5,2.5
"1997-09",1.6,2.5
"1997-10",1.9,2.5
"1997-11",1.7,2.5
"1997-12",2,2.5
"1998-01",2.2,2.5
"1998-02",2,2.5
"1998-03",2.4,2.5
"1998-04",1.9,2.5
"1998-05",2.4,2.5
"1998-06",2.3,2.5
"1998-07",1.9,2.5
"1998-08",1.1,2.5
"1998-09",0.8,2.5
"1998-10",0.9,2.5
"1998-11",1.3,2.5
"1998-12",1.3,2.5
"1999-01",1.3,2.5
"1999-02",1.4,2.5
"1999-03",1.5,2.5
"1999-04",1.8,2.5
"1999-05",2,2.5
"1999-06",2.6,2.5
"1999-07",3.2,2.5
"1999-08",4.2,2.5
"1999-09",4.9,2.5
"1999-10",5.3,2.5
"1999-11",5,2.5
"1999-12",5.6,2.5
"2000-01",5.8,2.5
"2000-02",5.6,2.5
"2000-03",5.9,2.5
"2000-04",6,2.5
"2000-05",5.9,2.5
"2000-06",5.5,2.5
"2000-07",5.6,2.5
"2000-08",4.7,2.5
"2000-09",4,2.5
"2000-10",4.2,2.5
"2000-11",4.6,2.5
"2000-12",4.2,2.5
"2001-01",3.5,2.5
"2001-02",4.1,2.5
"2001-03",3.9,2.5
"2001-04",4.5,2.5
"2001-05",5.5,2.5
"2001-06",6.8,2.5
"2001-07",7,2.5
"2001-08",7.9,2.5
"2001-09",8.4,2.5
"2001-10",8,2.5
"2001-11",8.1,2.5
"2001-12",8.6,2.5
"2002-01",9.4,2.5
"2002-02",8.9,2.5
"2002-03",8.7,2.5
"2002-04",7.5,2.5
"2002-05",5.9,2.5
"2002-06",4.8,2.5
"2002-07",4.1,2.5
"2002-08",3.2,2.5
"2002-09",3.1,2.5
"2002-10",2.9,2.5
"2002-11",2.4,2.5
"2002-12",2,2.5
"2003-01",1.4,2.5
"2003-02",1.5,2.5
"2003-03",2.2,2.5
"2003-04",2.3,2.5
"2003-05",2.2,2.5
"2003-06",1.8,2.5
"2003-07",1.6,2.5
"2003-08",2,2.5
"2003-09",2.2,2.5
"2003-10",2.2,2.5
"2003-11",2.5,2.5
"2003-12",2.7,2.5
"2004-01",2.4,2.5
"2004-02",2.3,2.5
"2004-03",1.8,2.5
"2004-04",2.2,2.5
"2004-05",3.2,2.5
"2004-06",3.9,2.5
"2004-07",3.6,2.5
"2004-08",3.7,2.5
"2004-09",3.4,2.5
"2004-10",3.7,2.5
"2004-11",3.8,2.5
"2004-12",3.9,2.5
"2005-01",4,2.5
"2005-02",4.5,2.5
"2005-03",4.7,2.5
"2005-04",4.3,2.5
"2005-05",2.9,2.5
"2005-06",2.8,2.5
"2005-07",3.5,2.5
"2005-08",3.7,2.5
"2005-09",4.8,2.5
"2005-10",4.6,2.5
"2005-11",4.2,2.5
"2005-12",4.1,2.5
"2006-01",4.4,2.5
"2006-02",4.1,2.5
"2006-03",4.5,2.5
"2006-04",5.5,2.5
"2006-05",7.6,2.5
"2006-06",8,2.5
"2006-07",8.4,2.5
"2006-08",8.6,2.5
"2006-09",7.6,2.5
"2006-10",7.2,2.5
"2006-11",7.3,2.5
"2006-12",7,2.5
"2007-01",6.9,2.5
"2007-02",7.4,2.5
"2007-03",5.9,2.5
"2007-04",5.3,2.5
"2007-05",4.7,2.5
"2007-06",4,2.5
"2007-07",3.8,2.5
"2007-08",3.4,2.5
"2007-09",4.2,2.5
"2007-10",4.5,2.5
"2007-11",5.2,2.5
"2007-12",5.9,2.5
"2008-01",5.8,2.5
"2008-02",6.8,2.5
"2008-03",8.7,2.5
"2008-04",11.8,2.5
"2008-05",12.3,2.5
"2008-06",12.7,2.5
"2008-07",13.6,2.5
"2008-08",14.5,2.5
"2008-09",14,2.5
"2008-10",15.9,2.5
"2008-11",17.1,2.5
"2008-12",18.1,2.5
"2009-01",18.6,2.5
"2009-02",17.6,2.5
"2009-03",15.2,2.5
"2009-04",11.9,2.5
"2009-05",11.6,2.5
"2009-06",12.2,2.5
"2009-07",11.3,2.5
"2009-08",10.9,2.5
"2009-09",10.8,2.5
"2009-10",9.7,2.5
"2009-11",8.6,2.5
"2009-12",7.5,2.5
"2010-01",6.6,2.5
"2010-02",7.3,2.5
"2010-03",8.5,2.5
"2010-04",8.3,2.5
"2010-05",7.5,2.5
"2010-06",5.7,2.5
"2010-07",4.8,2.5
"2010-08",4.5,2.5
"2010-09",3.7,2.5
"2010-10",3.3,2.5
"2010-11",2.6,2.5
"2010-12",2.5,2.5
"2011-01",1.8,2.5
"2011-02",1.9,2.5
"2011-03",2.3,2.5
"2011-04",2.8,2.5
"2011-05",3.4,2.5
"2011-06",4.2,2.5
"2011-07",5,2.5
"2011-08",5,2.5
"2011-09",5.7,2.5
"2011-10",5.3,2.5
"2011-11",5.2,2.5
"2011-12",5.3,2.5
"2012-01",6.5,2.5
"2012-02",6.3,2.5
"2012-03",6.4,2.5
"2012-04",6.4,2.5
"2012-05",5.4,2.5
"2012-06",5.4,2.5
"2012-07",4.6,2.5
"2012-08",4.1,2.5
"2012-09",4.3,2.5
"2012-10",4.2,2.5
"2012-11",4.5,2.5
"2012-12",4.2,2.5
"2013-01",4.2,2.5
"2013-02",4.8,2.5
"2013-03",3.9,2.5
"2013-04",3.3,2.5
"2013-05",3.3,2.5
"2013-06",3.3,2.5
"2013-07",3.8,2.5
"2013-08",4.3,2.5
"2013-09",3.9,2.5
"2013-10",3.6,2.5
"2013-11",3.7,2.5
"2013-12",4.2,2.5

Verðlagsþróun, 12 mánaða verðbólga

